Unit Name,LO ID,Learning outcomes,Verbs identified,Possible SOLO Levels,Possible Bloom's Levels,Describe the mapping process,Discussion Notes,Final SOLO Level,Final Bloom Level,Unit Level Conclusions / Discussion,,,Colour,Meaning,,,,,SOLO Levels,Blooms Levels
FIT4002 - Software engineering industry experience studio project,LO1,Design and implement a software system of a quality acceptable to an external client;,"Design, Implement",-,"Applying, Evaluating, Creating","Design doesn't appear in SOLO, but is Evaluating and Creating in Bloom's. Implement doesn't appear in SOLO sample verbs, but is Applying in Bloom's. SOLO estimated to be Relational. LO mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO2,"Select and use appropriate tools, techniques and strategies to manage project resources, including time and personnel;","Select, Use",Multistructural,"Remembering, Understanding, Applying, Analysing, Evaluating","Use doesn't appear in SOLO, but is Applying in Bloom's. Select is Multistructural and Remembering through Evaluating in Bloom's. Based on unit level, mapped to Multistructural and Applying.",,Multistructural,Applying,,,,,,,,,,,
,LO3,"Identify potential sources of risk, including ethical risk, and devise and adopt appropriate strategies to monitor and mitigate these risks;","Identify, Devise, Adopt, Monitor, Mitigate",Unistructural,"Remembering, Understanding, Applying, Analysing, Evaluating, Creating","Identify is used in Remembering, Understanding, Analysing and Applying in Bloom's, and Unistructural in SOLO. Devise doesn't have SOLO samples, and is Creating in Bloom's. Adopt doesn't have SOLO samples, and is Creating in Bloom's. Monitor doesn't have SOLO samples, and is Evaluating in Bloom's. Unistructural doesn't feel appropriate for this level so Relational is recommended. LO mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO4,"Choose and follow a software development methodology that is appropriate to the team, project and client, and justify this methodology;","Choose, Follow, Justify","Unistructural, Relational","Remembering, Applying, Evaluating, Creating","Follow is Unistructural but has no Bloom sample. Choose has no SOLO sample, but is Rememberiing, Applying, Evaluating and Creating. Justify is Relational and Evaluating. Based on unit level, LO mapped to Relational and Evaluating.",,Relational,Evaluating,,,,,,,,,,,
,LO5,"Elicit functional and non-functional requirements, including human aspects requirements, from client representatives and ensure that these are communicated to team members and other stakeholders in an appropriate form","Elicit, Ensure",-,-,"Neither of the verbs are mapped in the sample verbs. Attempting to map the verbs to SOLO and Bloom: Elicit feels like Relational, and Analysing and Evaluating in Bloom; Ensure feels like Multistructural, and Understanding. Based on these attempts, LO mapped to Relational and Analysing.",No mapped verb and no substitute,Relational,Analysing,,,,,,,,,,,
,LO6,"Produce internal documentation of a sufficient quality to support project development activities (including specification, analysis, design, testing) and address relevant security and other risks","Produce, Support, Address",Relational,"Applying, Creating","Support doesn't appear in sample verbs for either taxonomy. Address is Relational and doesn't appear in Bloom's. Produce doesn't appear in SOLO, but is Applying and Creating in Bloom's. SOLO is estimated to be Relational. LO mapped to Relational and Creating.",,Relational,Creating,,,,,,,,,,,
,LO7,"Communicate effectively with a diverse range of project stakeholders, including clients, end users, and supervisors",Communicate,-,-,"Communicate doesn't apprear in either sample verbs. Based on the level of the unit and the goals of the LO, the best estimate is Multistructural and Applying.",No mapped verb and no substitute,Multistructural,Applying,,,,,,,,,,,
,LO8,"Verify systematically that internal and external project deliverables meet agreed quality standards, such as functionality, security and usability",Verify,-,Evaluating,Verify doesn't appear in SOLO but is Evaluating in Blooms. SOLO estimated to be Relational. LO mapped to Relational and Evaluating,,Relational,Evaluating,,,,,,,,,,,
"FIT4701 - Final year software engineering project A
",LO1,Research relevant and reliable literature to evaluate the state of the field.,"Research, evaluate","Research->Extended abstract, evaluate->Extended abstract","Research->Analysing, Evaluate->Evaluating",Mapping to SOLO is Extended abstract and mapping to Blooms is to Evaluating since it comes right after Analysing,,Extended abstract,Evaluating,,,,,,,,,,,
,LO2,Analyse a problem and evaluate the potential of a solution or experiment.,"Analyse, Evaluate","Analyse->Relational, Evaluate->Extended abstract","Analyse->analysing, Evaluate->Evaluating",SOLO mapped to Extended abstract and Blooms mapped to Evaluating as both of them have higher levels in order.,"Typically, when two verbs are mapped to different levels appearing in order, the highest level is taken.",Extended abstract ,Evaluating,,,,,,,,,,,
,LO3,Appraise a complex engineering problem and investigate it using appropriate research methods and techniques.,"Appraise, investigate","Appraise->Extended abstract, investigate->None","Appraise->Analysing, Evaluating, investigate->Analysing",Extended abstract for SOLO and Evaluating for Blooms,,Extended abstract ,Evaluating,,,,,,,,,,,
,LO4,Integrate foundational and discipline-specific knowledge to solve complex open-ended problems.,"integrate, solve","integrate->Relational, Extended abstract, Solve(Solve a problem)->Relational","integrate->Creating, solve->Applying, analysing","Extended abstract for SOLO. For Blooms, Applying and analysing are in order and integrate only maps to creating. therefore, analysing is a more stronger mapping than creating for this case.",,Extended abstract,Analysing,,,,,,,,,,,
,LO5,"Plan the scope and requirements of a research project or experiment, responding to changing requirements and potential interdisciplinary inputs.","plan, experiment","plan->extended abstract, experiment->None","plan->Creating, experiment->Applying, Analysing","For SOLO mapping, it is direct mapping to extended abstract but for Blooms, since plan is the first verb of the sentence, it is more stronger than experiment mapping and also SOLO was mapped to extended abstract therefore the final mapping is Creating.",,Extended abstract,Creating,,,,,,,,,,,
,LO6,"Generate research and technical outputs by applying appropriate techniques, resources and modern engineering tools to a complex open-ended engineering problem.","Generate, applying","Generate->Extended abstract, applying->Relational","generate->Creating, Applying->Applying","The mapping for SOLO is direct to Extended abstract and as for Blooms, since SOLO was mapped to Extended abstract, the appropriate equivalent would be Creating.",,Extended abstract,Creating,,,,,,,,,,,
,LO7,"Demonstrate consideration of the ethics and norms which guide engineering practice, including professionalism, innovation and creativity.",Demonstrate,Demonstrate->Extended abstract,"Demonstrate->Understanding, Applying",SOLO mapping to extended abstract and Blooms mapping to Applying,,Extended abstract,Applying,,,,,,,,,,,
,LO8,"Assess the social, health, safety, legal, cultural, commercial and political impacts of the identified project, as appropriate.",Assess,Assess-Extended abstract,Assess->Evaluating,SOLO and Blooms both mapped directly,,Extended abstract,Evaluating,,,,,,,,,,,
,LO9,"Assess the sustainability of your project within the appropriate discipline context, with consideration of the relevant sustainable development goals and indicators.",Assess,Assess-Extended abstract,Assess->Evaluating,SOLO and Blooms both mapped directly,,Extended abstract,Evaluating,,,,,,,,,,,
,LO10,Synthesise the progress and outputs of your project through professional engineering reports and presentations to a range of audiences including the community and industry.,Synthesise,Synthesise->extended abstract,"Synthesise-Evaluating, Creating",SOLO mapped directly but Blooms maps to Creating because it is of the highest order,,Extended abstract,Creating,,,,,,,,,,,
,LO11,"Engage with project collaborators to achieve research outcomes using effective self and/or team management, review and improvement practices. (Applicable to the Clayton-based course)","Engage, using","Engage->Extended abstract, use-Relational","Engage->None, use->Applying",SOLO mapped to extended abstract and Blooms mapped to Applying.,Something seems a bit off here,Extended abstract,Applying,,,,,,,,,,,
FIT5202 - Data processing for big data,LO1,identify and explain big data concepts and technologies;,"identify, explain","identify->unistructural, explain->Relatioinal","identify-> Remembering, understanding, applying, analysing, explain->Understanding, applying, Evaluating, Creating","If we look at Blooms mapping here, since the verbs map to all 6 levels, we can map it to the highest level which is creating. Since Blooms was mapped to Creating, SOLO will be mapped to Relational as unistructural doesnt seem appropriate for this LO",,Relational,Creating,,,,,,,,,,,
,LO2,write and interpret parallel database processing algorithms and methods;,"Write, interpret","Write->Unistructural, interpret->Relational","Write->Remembering, applying, creating, interpret->understanding, applying, evaluating","The most appropriate mapping for blooms here is Applying here because it appears twice and it also includes remembering and understanding levels which are in order. As for SOLO, since blooms was mapped to applying, the most appropriate mapping here would be to relational because unistructural is too low when compared with its blooms counterpart",,Relational,Applying,,,,,,,,,,,
,LO3,apply common data analytics and machine learning algorithms in a big data environment;,Apply,Apply->Relational,Apply->Applying,Both mappings are direct and easy,,Relational,Applying,,,,,,,,,,,
,LO4,use and evaluate streaming methods in big data processing;,"use, evaluate","use->Relational, evaluate->Extended abstract","use->Applying, Evaluate->Evaluating","For SOLO mapping, Extended abstract is better here and for Blooms, Evaluating level is appropriate sinct it is the highest level",,Extended abstract,Evaluating,,,,,,,,,,,
,LO5,use big data streaming technologies.,use,use->relational,use->Applying,Both mappings are direct and easy,,Relational,Appplying,,,,,,,,,,,
